split_index,seed,e_marginal_j_per_tflop,e_per_tb_j,p_overhead_w,heldout_workload,gt_tflops,est_tflops,signed_err_pct,abs_err_pct,split_max_abs_err_pct
75,1075,6.1984,5917.09,0.425,d512_b16_s128_L6,152.6861,144.0858,-5.633,5.633,13.501
75,1075,6.1984,5917.09,0.425,d512_b16_s256_L3,166.2152,143.7751,-13.501,13.501,13.501
75,1075,6.1984,5917.09,0.425,d512_b16_s64_L6_sgd,145.9215,154.3358,5.766,5.766,13.501
75,1075,6.1984,5917.09,0.425,d768_b8_s64_L3,120.192,112.5309,-6.374,6.374,13.501
76,1076,5.5305,3622.4,2.0,d256_b16_s256_L3,109.8438,116.2169,5.802,5.802,6.794
76,1076,5.5305,3622.4,2.0,d256_b8_s256_L3,87.3757,92.5969,5.976,5.976,6.794
76,1076,5.5305,3622.4,2.0,d256_b8_s512_L3,91.8049,98.0423,6.794,6.794,6.794
76,1076,5.5305,3622.4,2.0,d512_b8_s128_L3,82.705,82.8288,0.15,0.15,6.794
76,1076,5.5305,3622.4,2.0,d512_b8_s128_L3_h2,82.705,81.2621,-1.745,1.745,6.794
76,1076,5.5305,3622.4,2.0,d640_b8_s128_L3,109.9243,108.8232,-1.002,1.002,6.794
76,1076,5.5305,3622.4,2.0,d768_b8_s128_L6,174.1878,173.1895,-0.573,0.573,6.794
77,1077,4.5754,2013.58,3.4875,d256_b16_s256_L3,109.8438,119.0012,8.337,8.337,12.598
77,1077,4.5754,2013.58,3.4875,d256_b8_s256_L3,87.3757,93.4569,6.96,6.96,12.598
77,1077,4.5754,2013.58,3.4875,d384_b16_s128_L3_h8,101.1666,106.4554,5.228,5.228,12.598
77,1077,4.5754,2013.58,3.4875,d512_b16_s64_L6,145.9215,149.4222,2.399,2.399,12.598
77,1077,4.5754,2013.58,3.4875,d512_b16_s64_L6_sgd,145.9215,155.9865,6.898,6.898,12.598
77,1077,4.5754,2013.58,3.4875,d640_b8_s64_L3,88.0804,76.984,-12.598,12.598,12.598
77,1077,4.5754,2013.58,3.4875,d768_b8_s128_L6,174.1878,176.1664,1.136,1.136,12.598
78,1078,5.7042,4778.21,1.275,d256_b8_s256_L3,87.3757,92.0597,5.361,5.361,7.458
78,1078,5.7042,4778.21,1.275,d384_b16_s128_L3_h8,101.1666,105.9784,4.756,4.756,7.458
78,1078,5.7042,4778.21,1.275,d384_b16_s256_L3,143.0224,145.4143,1.672,1.672,7.458
78,1078,5.7042,4778.21,1.275,d384_b8_s128_L6,113.3066,117.341,3.561,3.561,7.458
78,1078,5.7042,4778.21,1.275,d512_b16_s64_L6_sgd,145.9215,156.8041,7.458,7.458,7.458
78,1078,5.7042,4778.21,1.275,d512_b8_s128_L3,82.705,83.3522,0.783,0.783,7.458
78,1078,5.7042,4778.21,1.275,d640_b8_s128_L3,109.9243,108.8208,-1.004,1.004,7.458
79,1079,5.4251,5134.02,1.3125,d256_b8_s256_L3,87.3757,90.8656,3.994,3.994,7.807
79,1079,5.4251,5134.02,1.3125,d512_b16_s64_L6,145.9215,147.9805,1.411,1.411,7.807
79,1079,5.4251,5134.02,1.3125,d512_b16_s64_L6_sgd,145.9215,157.3131,7.807,7.807,7.807
79,1079,5.4251,5134.02,1.3125,d512_b8_s128_L3_ff4096,89.5098,88.5292,-1.096,1.096,7.807
79,1079,5.4251,5134.02,1.3125,d512_b8_s128_L3_h2,82.705,81.0402,-2.013,2.013,7.807
79,1079,5.4251,5134.02,1.3125,d640_b8_s128_L3_sgd,109.9243,116.3743,5.868,5.868,7.807
79,1079,5.4251,5134.02,1.3125,d768_b8_s64_L3,120.192,113.5584,-5.519,5.519,7.807
80,1080,5.7946,4490.73,1.4125,d384_b16_s128_L3,101.1666,102.1026,0.925,0.925,3.452
80,1080,5.7946,4490.73,1.4125,d384_b16_s256_L3,143.0224,143.3518,0.23,0.23,3.452
80,1080,5.7946,4490.73,1.4125,d384_b8_s128_L6,113.3066,115.5464,1.977,1.977,3.452
80,1080,5.7946,4490.73,1.4125,d512_b8_s128_L3,82.705,82.1837,-0.63,0.63,3.452
80,1080,5.7946,4490.73,1.4125,d512_b8_s128_L3_ff4096,89.5098,86.4203,-3.452,3.452,3.452
80,1080,5.7946,4490.73,1.4125,d512_b8_s128_L3_h2,82.705,80.5258,-2.635,2.635,3.452
80,1080,5.7946,4490.73,1.4125,d640_b8_s128_L3,109.9243,107.4371,-2.263,2.263,3.452
81,1081,5.5996,5703.05,0.925,d384_b16_s128_L3,101.1666,101.8961,0.721,0.721,6.658
81,1081,5.5996,5703.05,0.925,d384_b16_s128_L3_ff3072,124.2386,125.6341,1.123,1.123,6.658
81,1081,5.5996,5703.05,0.925,d384_b16_s128_L3_h8,101.1666,104.5944,3.388,3.388,6.658
81,1081,5.5996,5703.05,0.925,d512_b16_s128_L6,152.6861,145.7411,-4.549,4.549,6.658
81,1081,5.5996,5703.05,0.925,d512_b8_s128_L3_h2,82.705,80.5794,-2.57,2.57,6.658
81,1081,5.5996,5703.05,0.925,d640_b8_s128_L3_sgd,109.9243,116.0029,5.53,5.53,6.658
81,1081,5.5996,5703.05,0.925,d768_b8_s64_L3,120.192,112.1897,-6.658,6.658,6.658
82,1082,5.6362,3355.13,2.0625,d256_b16_s256_L3,109.8438,116.468,6.031,6.031,6.339
82,1082,5.6362,3355.13,2.0625,d256_b8_s256_L3,87.3757,92.9147,6.339,6.339,6.339
82,1082,5.6362,3355.13,2.0625,d384_b16_s128_L3_h8,101.1666,105.8167,4.596,4.596,6.339
82,1082,5.6362,3355.13,2.0625,d512_b16_s128_L6,152.6861,147.8055,-3.197,3.197,6.339
82,1082,5.6362,3355.13,2.0625,d512_b16_s64_L6_sgd,145.9215,154.6197,5.961,5.961,6.339
82,1082,5.6362,3355.13,2.0625,d512_b8_s128_L3_ff4096,89.5098,86.2091,-3.688,3.688,6.339
82,1082,5.6362,3355.13,2.0625,d640_b8_s128_L3,109.9243,108.8476,-0.98,0.98,6.339
83,1083,5.671,5424.51,1.025,d256_b16_s256_L3,109.8438,112.9204,2.801,2.801,6.303
83,1083,5.671,5424.51,1.025,d384_b16_s128_L3,101.1666,101.7767,0.603,0.603,6.303
83,1083,5.671,5424.51,1.025,d512_b16_s128_L6,152.6861,145.482,-4.718,4.718,6.303
83,1083,5.671,5424.51,1.025,d512_b8_s128_L3_h2,82.705,80.4393,-2.739,2.739,6.303
83,1083,5.671,5424.51,1.025,d640_b8_s128_L3_sgd,109.9243,115.2314,4.828,4.828,6.303
83,1083,5.671,5424.51,1.025,d768_b8_s128_L6,174.1878,171.3505,-1.629,1.629,6.303
83,1083,5.671,5424.51,1.025,d768_b8_s64_L3,120.192,112.6167,-6.303,6.303,6.303
84,1084,5.2075,3962.18,2.1,d256_b8_s256_L3,87.3757,90.73,3.839,3.839,11.235
84,1084,5.2075,3962.18,2.1,d256_b8_s512_L3,91.8049,97.485,6.187,6.187,11.235
84,1084,5.2075,3962.18,2.1,d512_b16_s256_L3,166.2152,147.541,-11.235,11.235,11.235
84,1084,5.2075,3962.18,2.1,d512_b8_s128_L3_h2,82.705,80.0913,-3.16,3.16,11.235
84,1084,5.2075,3962.18,2.1,d640_b8_s128_L3,109.9243,107.4828,-2.221,2.221,11.235
84,1084,5.2075,3962.18,2.1,d640_b8_s128_L3_sgd,109.9243,114.3149,3.994,3.994,11.235
84,1084,5.2075,3962.18,2.1,d640_b8_s64_L3,88.0804,80.5349,-8.567,8.567,11.235
85,1085,5.3387,6847.99,0.475,d384_b16_s128_L3_ff3072,124.2386,129.9154,4.569,4.569,10.259
85,1085,5.3387,6847.99,0.475,d384_b8_s128_L6,113.3066,118.2855,4.394,4.394,10.259
85,1085,5.3387,6847.99,0.475,d512_b16_s64_L6,145.9215,148.4674,1.745,1.745,10.259
85,1085,5.3387,6847.99,0.475,d512_b16_s64_L6_sgd,145.9215,160.8916,10.259,10.259,10.259
85,1085,5.3387,6847.99,0.475,d512_b8_s128_L3_ff4096,89.5098,91.2667,1.963,1.963,10.259
85,1085,5.3387,6847.99,0.475,d640_b8_s128_L3_sgd,109.9243,119.704,8.897,8.897,10.259
85,1085,5.3387,6847.99,0.475,d768_b8_s64_L3,120.192,110.9702,-7.673,7.673,10.259
86,1086,5.5238,4772.53,1.4375,d256_b16_s256_L3,109.8438,114.3254,4.08,4.08,6.823
86,1086,5.5238,4772.53,1.4375,d256_b8_s512_L3,91.8049,98.0686,6.823,6.823,6.823
86,1086,5.5238,4772.53,1.4375,d384_b16_s256_L3,143.0224,144.565,1.079,1.079,6.823
86,1086,5.5238,4772.53,1.4375,d512_b16_s64_L6,145.9215,147.7028,1.221,1.221,6.823
86,1086,5.5238,4772.53,1.4375,d512_b8_s128_L3_h2,82.705,80.8597,-2.231,2.231,6.823
86,1086,5.5238,4772.53,1.4375,d768_b8_s128_L6,174.1878,172.5633,-0.933,0.933,6.823
86,1086,5.5238,4772.53,1.4375,d768_b8_s64_L3,120.192,114.1384,-5.037,5.037,6.823
87,1087,5.9504,6826.09,0.1125,d256_b16_s128_L3,88.5837,87.3254,-1.42,1.42,7.587
87,1087,5.9504,6826.09,0.1125,d384_b16_s256_L3,143.0224,143.9143,0.624,0.624,7.587
87,1087,5.9504,6826.09,0.1125,d384_b8_s128_L6,113.3066,118.1046,4.235,4.235,7.587
87,1087,5.9504,6826.09,0.1125,d512_b16_s128_L6,152.6861,144.7265,-5.213,5.213,7.587
87,1087,5.9504,6826.09,0.1125,d640_b8_s128_L3_sgd,109.9243,116.3593,5.854,5.854,7.587
87,1087,5.9504,6826.09,0.1125,d768_b8_s128_L6,174.1878,170.9767,-1.843,1.843,7.587
87,1087,5.9504,6826.09,0.1125,d768_b8_s64_L3,120.192,111.0732,-7.587,7.587,7.587
88,1088,6.4404,4335.42,1.1,d384_b16_s128_L3_ff3072,124.2386,119.3521,-3.933,3.933,13.168
88,1088,6.4404,4335.42,1.1,d512_b16_s256_L3,166.2152,144.3287,-13.168,13.168,13.168
88,1088,6.4404,4335.42,1.1,d512_b16_s64_L6,145.9215,145.2008,-0.494,0.494,13.168
88,1088,6.4404,4335.42,1.1,d512_b8_s128_L3,82.705,81.144,-1.887,1.887,13.168
88,1088,6.4404,4335.42,1.1,d512_b8_s128_L3_ff4096,89.5098,84.1606,-5.976,5.976,13.168
88,1088,6.4404,4335.42,1.1,d512_b8_s128_L3_h2,82.705,79.6543,-3.689,3.689,13.168
88,1088,6.4404,4335.42,1.1,d768_b8_s128_L6,174.1878,167.6116,-3.775,3.775,13.168
89,1089,5.2078,5384.19,1.3,d384_b16_s128_L3,101.1666,103.6763,2.481,2.481,9.53
89,1089,5.2078,5384.19,1.3,d384_b16_s128_L3_ff3072,124.2386,128.5638,3.481,3.481,9.53
89,1089,5.2078,5384.19,1.3,d384_b16_s128_L3_h8,101.1666,106.4343,5.207,5.207,9.53
89,1089,5.2078,5384.19,1.3,d384_b16_s256_L3,143.0224,147.0793,2.837,2.837,9.53
89,1089,5.2078,5384.19,1.3,d512_b16_s64_L6_sgd,145.9215,159.8273,9.53,9.53,9.53
89,1089,5.2078,5384.19,1.3,d640_b8_s128_L3_sgd,109.9243,118.429,7.737,7.737,9.53
89,1089,5.2078,5384.19,1.3,d768_b8_s128_L6,174.1878,175.5503,0.782,0.782,9.53
90,1090,4.6155,1906.24,3.55,d256_b16_s256_L3,109.8438,117.8402,7.28,7.28,13.715
90,1090,4.6155,1906.24,3.55,d384_b16_s128_L3,101.1666,103.0226,1.835,1.835,13.715
90,1090,4.6155,1906.24,3.55,d384_b16_s128_L3_h8,101.1666,105.2964,4.082,4.082,13.715
90,1090,4.6155,1906.24,3.55,d384_b16_s256_L3,143.0224,144.4938,1.029,1.029,13.715
90,1090,4.6155,1906.24,3.55,d512_b8_s128_L3,82.705,81.4705,-1.493,1.493,13.715
90,1090,4.6155,1906.24,3.55,d512_b8_s128_L3_ff4096,89.5098,85.7837,-4.163,4.163,13.715
90,1090,4.6155,1906.24,3.55,d640_b8_s64_L3,88.0804,76.0006,-13.715,13.715,13.715
91,1091,5.4661,4478.85,1.6,d256_b16_s256_L3,109.8438,115.4945,5.144,5.144,7.548
91,1091,5.4661,4478.85,1.6,d256_b8_s256_L3,87.3757,91.9677,5.256,5.256,7.548
91,1091,5.4661,4478.85,1.6,d384_b16_s128_L3_ff3072,124.2386,125.4255,0.955,0.955,7.548
91,1091,5.4661,4478.85,1.6,d512_b16_s128_L6,152.6861,147.9485,-3.103,3.103,7.548
91,1091,5.4661,4478.85,1.6,d512_b16_s64_L6_sgd,145.9215,156.9354,7.548,7.548,7.548
91,1091,5.4661,4478.85,1.6,d640_b8_s128_L3,109.9243,108.842,-0.985,0.985,7.548
91,1091,5.4661,4478.85,1.6,d640_b8_s128_L3_sgd,109.9243,115.8139,5.358,5.358,7.548
92,1092,4.5282,3413.0,2.8375,d256_b8_s512_L3,91.8049,98.7713,7.588,7.588,13.64
92,1092,4.5282,3413.0,2.8375,d384_b16_s128_L3_ff3072,124.2386,126.8535,2.105,2.105,13.64
92,1092,4.5282,3413.0,2.8375,d512_b16_s64_L6_sgd,145.9215,157.118,7.673,7.673,13.64
92,1092,4.5282,3413.0,2.8375,d512_b8_s128_L3,82.705,81.9377,-0.928,0.928,13.64
92,1092,4.5282,3413.0,2.8375,d512_b8_s128_L3_h2,82.705,80.1317,-3.111,3.111,13.64
92,1092,4.5282,3413.0,2.8375,d640_b8_s128_L3,109.9243,108.4072,-1.38,1.38,13.64
92,1092,4.5282,3413.0,2.8375,d640_b8_s64_L3,88.0804,76.0661,-13.64,13.64,13.64
93,1093,5.2844,4617.35,1.6375,d256_b16_s256_L3,109.8438,115.9709,5.578,5.578,8.584
93,1093,5.2844,4617.35,1.6375,d384_b16_s128_L3_h8,101.1666,106.5132,5.285,5.285,8.584
93,1093,5.2844,4617.35,1.6375,d384_b16_s256_L3,143.0224,146.627,2.52,2.52,8.584
93,1093,5.2844,4617.35,1.6375,d512_b16_s64_L6,145.9215,149.5932,2.516,2.516,8.584
93,1093,5.2844,4617.35,1.6375,d512_b16_s64_L6_sgd,145.9215,158.4472,8.584,8.584,8.584
93,1093,5.2844,4617.35,1.6375,d640_b8_s128_L3_sgd,109.9243,117.0658,6.497,6.497,8.584
93,1093,5.2844,4617.35,1.6375,d768_b8_s128_L6,174.1878,175.1936,0.577,0.577,8.584
94,1094,5.4336,3708.48,2.0125,d256_b16_s256_L3,109.8438,116.5011,6.061,6.061,6.972
94,1094,5.4336,3708.48,2.0125,d256_b8_s256_L3,87.3757,92.7287,6.126,6.126,6.972
94,1094,5.4336,3708.48,2.0125,d512_b16_s64_L6,145.9215,149.1723,2.228,2.228,6.972
94,1094,5.4336,3708.48,2.0125,d512_b16_s64_L6_sgd,145.9215,156.095,6.972,6.972,6.972
94,1094,5.4336,3708.48,2.0125,d512_b8_s128_L3_ff4096,89.5098,87.255,-2.519,2.519,6.972
94,1094,5.4336,3708.48,2.0125,d512_b8_s128_L3_h2,82.705,81.4834,-1.477,1.477,6.972
94,1094,5.4336,3708.48,2.0125,d640_b8_s128_L3_sgd,109.9243,114.9183,4.543,4.543,6.972
95,1095,6.43,6437.38,0.0,d384_b8_s128_L6,113.3066,118.2084,4.326,4.326,13.95
95,1095,6.43,6437.38,0.0,d512_b16_s128_L6,152.6861,143.644,-5.922,5.922,13.95
95,1095,6.43,6437.38,0.0,d512_b16_s256_L3,166.2152,143.0285,-13.95,13.95,13.95
95,1095,6.43,6437.38,0.0,d512_b16_s64_L6,145.9215,145.8954,-0.018,0.018,13.95
95,1095,6.43,6437.38,0.0,d640_b8_s128_L3,109.9243,106.3014,-3.296,3.296,13.95
95,1095,6.43,6437.38,0.0,d640_b8_s128_L3_sgd,109.9243,114.1407,3.836,3.836,13.95
95,1095,6.43,6437.38,0.0,d640_b8_s64_L3,88.0804,86.9765,-1.253,1.253,13.95
96,1096,6.1573,6556.38,0.0875,d384_b16_s128_L3,101.1666,102.0333,0.857,0.857,13.157
96,1096,6.1573,6556.38,0.0875,d384_b8_s128_L6,113.3066,118.9483,4.979,4.979,13.157
96,1096,6.1573,6556.38,0.0875,d512_b16_s256_L3,166.2152,144.3464,-13.157,13.157,13.157
96,1096,6.1573,6556.38,0.0875,d512_b16_s64_L6_sgd,145.9215,156.5161,7.26,7.26,13.157
96,1096,6.1573,6556.38,0.0875,d512_b8_s128_L3,82.705,82.9504,0.297,0.297,13.157
96,1096,6.1573,6556.38,0.0875,d512_b8_s128_L3_h2,82.705,81.0305,-2.025,2.025,13.157
96,1096,6.1573,6556.38,0.0875,d640_b8_s128_L3_sgd,109.9243,115.8974,5.434,5.434,13.157
97,1097,6.475,3943.4,1.2375,d256_b16_s128_L3,88.5837,91.2394,2.998,2.998,12.188
97,1097,6.475,3943.4,1.2375,d256_b16_s256_L3,109.8438,113.9917,3.776,3.776,12.188
97,1097,6.475,3943.4,1.2375,d384_b16_s128_L3_ff3072,124.2386,119.6149,-3.722,3.722,12.188
97,1097,6.475,3943.4,1.2375,d384_b8_s128_L6,113.3066,116.3566,2.692,2.692,12.188
97,1097,6.475,3943.4,1.2375,d512_b16_s256_L3,166.2152,145.9567,-12.188,12.188,12.188
97,1097,6.475,3943.4,1.2375,d512_b8_s128_L3_ff4096,89.5098,84.3645,-5.748,5.748,12.188
97,1097,6.475,3943.4,1.2375,d512_b8_s128_L3_h2,82.705,80.366,-2.828,2.828,12.188
98,1098,6.3156,6586.83,0.0,d256_b8_s512_L3,91.8049,96.9115,5.562,5.562,13.966
98,1098,6.3156,6586.83,0.0,d384_b16_s128_L3_ff3072,124.2386,123.6331,-0.487,0.487,13.966
98,1098,6.3156,6586.83,0.0,d384_b8_s128_L6,113.3066,118.1702,4.292,4.292,13.966
98,1098,6.3156,6586.83,0.0,d512_b16_s256_L3,166.2152,143.0011,-13.966,13.966,13.966
98,1098,6.3156,6586.83,0.0,d512_b16_s64_L6,145.9215,145.9505,0.02,0.02,13.966
98,1098,6.3156,6586.83,0.0,d640_b8_s128_L3,109.9243,106.3538,-3.248,3.248,13.966
98,1098,6.3156,6586.83,0.0,d768_b8_s64_L3,120.192,111.8107,-6.973,6.973,13.966
99,1099,4.6978,2914.02,2.9625,d256_b8_s256_L3,87.3757,92.0029,5.296,5.296,11.916
99,1099,4.6978,2914.02,2.9625,d384_b16_s128_L3_h8,101.1666,105.6196,4.402,4.402,11.916
99,1099,4.6978,2914.02,2.9625,d384_b16_s256_L3,143.0224,145.4141,1.672,1.672,11.916
99,1099,4.6978,2914.02,2.9625,d512_b16_s64_L6,145.9215,148.2202,1.575,1.575,11.916
99,1099,4.6978,2914.02,2.9625,d512_b16_s64_L6_sgd,145.9215,156.1468,7.007,7.007,11.916
99,1099,4.6978,2914.02,2.9625,d512_b8_s128_L3_h2,82.705,80.4954,-2.672,2.672,11.916
99,1099,4.6978,2914.02,2.9625,d640_b8_s64_L3,88.0804,77.5849,-11.916,11.916,11.916
100,1100,5.3839,3520.1,2.2125,d256_b16_s128_L3,88.5837,88.9971,0.467,0.467,11.223
100,1100,5.3839,3520.1,2.2125,d256_b8_s256_L3,87.3757,91.08,4.239,4.239,11.223
100,1100,5.3839,3520.1,2.2125,d384_b16_s128_L3,101.1666,101.8646,0.69,0.69,11.223
100,1100,5.3839,3520.1,2.2125,d384_b16_s128_L3_ff3072,124.2386,122.4443,-1.444,1.444,11.223
100,1100,5.3839,3520.1,2.2125,d512_b16_s256_L3,166.2152,147.5612,-11.223,11.223,11.223
100,1100,5.3839,3520.1,2.2125,d512_b8_s128_L3,82.705,81.5245,-1.427,1.427,11.223
100,1100,5.3839,3520.1,2.2125,d640_b8_s64_L3,88.0804,81.1401,-7.879,7.879,11.223
101,1101,6.1538,5303.84,0.7625,d256_b16_s256_L3,109.8438,112.7521,2.648,2.648,12.92
101,1101,6.1538,5303.84,0.7625,d384_b16_s128_L3,101.1666,101.5456,0.375,0.375,12.92
101,1101,6.1538,5303.84,0.7625,d384_b16_s128_L3_ff3072,124.2386,122.5166,-1.386,1.386,12.92
101,1101,6.1538,5303.84,0.7625,d512_b16_s128_L6,152.6861,144.5508,-5.328,5.328,12.92
101,1101,6.1538,5303.84,0.7625,d512_b16_s256_L3,166.2152,144.7407,-12.92,12.92,12.92
101,1101,6.1538,5303.84,0.7625,d512_b16_s64_L6,145.9215,146.3602,0.301,0.301,12.92
101,1101,6.1538,5303.84,0.7625,d640_b8_s128_L3_sgd,109.9243,113.5807,3.326,3.326,12.92
102,1102,6.3354,4378.08,1.1125,d256_b16_s256_L3,109.8438,113.5847,3.406,3.406,12.418
102,1102,6.3354,4378.08,1.1125,d384_b16_s128_L3_ff3072,124.2386,120.5917,-2.935,2.935,12.418
102,1102,6.3354,4378.08,1.1125,d384_b8_s128_L6,113.3066,116.369,2.703,2.703,12.418
102,1102,6.3354,4378.08,1.1125,d512_b16_s256_L3,166.2152,145.575,-12.418,12.418,12.418
102,1102,6.3354,4378.08,1.1125,d512_b16_s64_L6,145.9215,146.4522,0.364,0.364,12.418
102,1102,6.3354,4378.08,1.1125,d512_b8_s128_L3,82.705,81.8533,-1.03,1.03,12.418
102,1102,6.3354,4378.08,1.1125,d512_b8_s128_L3_ff4096,89.5098,85.0148,-5.022,5.022,12.418
103,1103,5.5963,4894.16,1.325,d384_b16_s128_L3,101.1666,102.5105,1.328,1.328,4.889
103,1103,5.5963,4894.16,1.325,d384_b16_s128_L3_h8,101.1666,105.1008,3.889,3.889,4.889
103,1103,5.5963,4894.16,1.325,d384_b16_s256_L3,143.0224,144.4821,1.021,1.021,4.889
103,1103,5.5963,4894.16,1.325,d512_b16_s128_L6,152.6861,146.5857,-3.995,3.995,4.889
103,1103,5.5963,4894.16,1.325,d512_b8_s128_L3,82.705,82.6649,-0.048,0.048,4.889
103,1103,5.5963,4894.16,1.325,d512_b8_s128_L3_h2,82.705,80.8824,-2.204,2.204,4.889
103,1103,5.5963,4894.16,1.325,d640_b8_s128_L3_sgd,109.9243,115.2988,4.889,4.889,4.889
104,1104,5.7235,5842.31,0.7375,d256_b8_s256_L3,87.3757,90.6917,3.795,3.795,7.357
104,1104,5.7235,5842.31,0.7375,d256_b8_s512_L3,91.8049,98.559,7.357,7.357,7.357
104,1104,5.7235,5842.31,0.7375,d384_b8_s128_L6,113.3066,117.76,3.93,3.93,7.357
104,1104,5.7235,5842.31,0.7375,d640_b8_s128_L3,109.9243,108.0339,-1.72,1.72,7.357
104,1104,5.7235,5842.31,0.7375,d640_b8_s128_L3_sgd,109.9243,116.5898,6.064,6.064,7.357
104,1104,5.7235,5842.31,0.7375,d768_b8_s128_L6,174.1878,172.7701,-0.814,0.814,7.357
104,1104,5.7235,5842.31,0.7375,d768_b8_s64_L3,120.192,113.2402,-5.784,5.784,7.357
105,1105,5.5357,6133.76,0.7,d256_b16_s128_L3,88.5837,88.3136,-0.305,0.305,9.112
105,1105,5.5357,6133.76,0.7,d384_b16_s128_L3,101.1666,103.0921,1.903,1.903,9.112
105,1105,5.5357,6133.76,0.7,d384_b16_s128_L3_ff3072,124.2386,127.8902,2.939,2.939,9.112
105,1105,5.5357,6133.76,0.7,d384_b8_s128_L6,113.3066,118.1972,4.316,4.316,9.112
105,1105,5.5357,6133.76,0.7,d512_b16_s64_L6_sgd,145.9215,159.2172,9.112,9.112,9.112
105,1105,5.5357,6133.76,0.7,d640_b8_s128_L3,109.9243,108.5603,-1.241,1.241,9.112
105,1105,5.5357,6133.76,0.7,d640_b8_s128_L3_sgd,109.9243,118.0683,7.409,7.409,9.112
106,1106,6.4455,6235.03,0.125,d256_b8_s256_L3,87.3757,89.1027,1.977,1.977,14.43
106,1106,6.4455,6235.03,0.125,d384_b16_s128_L3_h8,101.1666,103.0241,1.836,1.836,14.43
106,1106,6.4455,6235.03,0.125,d512_b16_s128_L6,152.6861,142.6958,-6.543,6.543,14.43
106,1106,6.4455,6235.03,0.125,d512_b16_s256_L3,166.2152,142.2311,-14.43,14.43,14.43
106,1106,6.4455,6235.03,0.125,d512_b8_s128_L3_h2,82.705,79.726,-3.602,3.602,14.43
106,1106,6.4455,6235.03,0.125,d768_b8_s128_L6,174.1878,167.9044,-3.607,3.607,14.43
106,1106,6.4455,6235.03,0.125,d768_b8_s64_L3,120.192,111.6382,-7.117,7.117,14.43
107,1107,6.0807,5056.02,0.925,d256_b8_s256_L3,87.3757,90.8845,4.016,4.016,12.416
107,1107,6.0807,5056.02,0.925,d384_b16_s128_L3_ff3072,124.2386,122.7668,-1.185,1.185,12.416
107,1107,6.0807,5056.02,0.925,d512_b16_s256_L3,166.2152,145.5779,-12.416,12.416,12.416
107,1107,6.0807,5056.02,0.925,d512_b16_s64_L6,145.9215,146.9187,0.683,0.683,12.416
107,1107,6.0807,5056.02,0.925,d512_b16_s64_L6_sgd,145.9215,154.2679,5.72,5.72,12.416
107,1107,6.0807,5056.02,0.925,d512_b8_s128_L3,82.705,82.3113,-0.476,0.476,12.416
107,1107,6.0807,5056.02,0.925,d768_b8_s128_L6,174.1878,170.4581,-2.141,2.141,12.416
108,1108,4.7789,1758.05,3.5,d256_b16_s256_L3,109.8438,118.2826,7.683,7.683,11.905
108,1108,4.7789,1758.05,3.5,d256_b8_s256_L3,87.3757,93.1659,6.627,6.627,11.905
108,1108,4.7789,1758.05,3.5,d384_b16_s128_L3_h8,101.1666,105.6346,4.416,4.416,11.905
108,1108,4.7789,1758.05,3.5,d512_b16_s64_L6,145.9215,148.3526,1.666,1.666,11.905
108,1108,4.7789,1758.05,3.5,d512_b8_s128_L3_ff4096,89.5098,85.4869,-4.494,4.494,11.905
108,1108,4.7789,1758.05,3.5,d640_b8_s64_L3,88.0804,77.5948,-11.905,11.905,11.905
108,1108,4.7789,1758.05,3.5,d768_b8_s64_L3,120.192,118.0818,-1.756,1.756,11.905
109,1109,5.741,4873.73,1.225,d256_b16_s128_L3,88.5837,89.6993,1.259,1.259,6.884
109,1109,5.741,4873.73,1.225,d384_b16_s128_L3,101.1666,102.7515,1.567,1.567,6.884
109,1109,5.741,4873.73,1.225,d384_b16_s256_L3,143.0224,144.5563,1.072,1.072,6.884
109,1109,5.741,4873.73,1.225,d384_b8_s128_L6,113.3066,116.7185,3.011,3.011,6.884
109,1109,5.741,4873.73,1.225,d512_b16_s64_L6_sgd,145.9215,155.9661,6.884,6.884,6.884
109,1109,5.741,4873.73,1.225,d512_b8_s128_L3_ff4096,89.5098,87.5048,-2.24,2.24,6.884
109,1109,5.741,4873.73,1.225,d512_b8_s128_L3_h2,82.705,81.1206,-1.916,1.916,6.884
110,1110,5.785,5794.91,0.775,d256_b16_s128_L3,88.5837,87.445,-1.285,1.285,7.07
110,1110,5.785,5794.91,0.775,d384_b16_s128_L3,101.1666,101.2202,0.053,0.053,7.07
110,1110,5.785,5794.91,0.775,d384_b16_s128_L3_ff3072,124.2386,124.3655,0.102,0.102,7.07
110,1110,5.785,5794.91,0.775,d384_b16_s256_L3,143.0224,143.1064,0.059,0.059,7.07
110,1110,5.785,5794.91,0.775,d512_b16_s128_L6,152.6861,144.5699,-5.316,5.316,7.07
110,1110,5.785,5794.91,0.775,d512_b8_s128_L3_h2,82.705,80.1098,-3.138,3.138,7.07
110,1110,5.785,5794.91,0.775,d768_b8_s64_L3,120.192,111.6948,-7.07,7.07,7.07
111,1111,5.4666,3810.52,1.925,d256_b16_s256_L3,109.8438,116.7338,6.273,6.273,7.588
111,1111,5.4666,3810.52,1.925,d256_b8_s256_L3,87.3757,92.9753,6.409,6.409,7.588
111,1111,5.4666,3810.52,1.925,d256_b8_s512_L3,91.8049,98.771,7.588,7.588,7.588
111,1111,5.4666,3810.52,1.925,d384_b16_s128_L3_h8,101.1666,106.4551,5.228,5.228,7.588
